Plot Name,Type,Latitude,Longitude,Number of fires (over 16 years),Late.fires
Recent Late 2015_3,Recent_late season,9.31748,-1.85733,1,1
Recent Late 2015_4,Recent_late season,9.31748,-1.84891,2,2
Recent Late 2015_5,Recent_late season,9.32568,-1.84893,3,3
Recent Late 2015_6,Recent_late season,9.336,-1.84293,2,2
Recent Late 2014_5,Recent_late season,9.40075,-1.85731,1,1
Recent Late 2013_14,Recent_late season,9.39238,-1.84975,2,2
Recent Late 2013_13,Recent_late season,9.38409,-1.84999,2,2
Old Late 2003_1,Old_late,9.30091,-1.85726,1,1
Old Late2012_7,Old_late,9.33414,-1.86566,1,1
Old Late 2004_9,Old_late,9.35069,-1.8657,1,1
Old Late 2012_8,Old_late,9.34256,-1.86566,2,2
Old Late 2004_10,Old_late,9.35904,-1.83397,2,1
Old Late 2012_18,Old_late,9.38379,-1.94906,1,1
Old Late 2010_19,Old_late,9.38413,-1.95734,1,1
Unburnt_5,Unburnt,9.32133,-1.86232,0,0
Unburnt_1,Unburnt,9.27791,-1.84858,0,0
Unburnt_2,Unburnt,9.27553,-1.84934,0,0
Unburnt_7,Unburnt,9.31719,-1.84071,0,0
Unburnt_6,Unburnt,9.30885,-1.84177,0,0
Unburnt_9,Unburnt,9.40056,-1.84889,0,0
Unburnt_3,Unburnt,9.26759,-1.86605,0,0
Recent Early2015_6,Recent_early season,9.3424,-1.90748,2,0
Recent Early2015_5,Recent_early season,9.35012,-1.90745,1,0
Recent Early 2015_7,Recent_early season,9.35919,-1.94066,2,0
Recent Early 2015_27,Recent_early season,9.28422,-1.99926,2,0
Recent Early 2015_2,Recent_early season,9.38446,-1.89091,2,0
Recent Early 2014_16,Recent_early season,9.36687,-1.9991,3,0
Recent Early 2014_13,Recent_early season,9.31753,-1.97078,3,0
