Treatment,Location,Pool,C.stock.kg.m2
Recent early,Early2014_13,Tree,0.341070199
Recent early,Early2014_16,Tree,0.149686391
Recent early,Early2015_2,Tree,0.516405049
Recent early,Early2015_27,Tree,1.168695595
Recent early,Early2015_5,Tree,0.049706831
Recent early,Early2015_6,Tree,0.735732622
Recent early,Early2015_7,Tree,0.163176094
Recent late,Late2013_13,Tree,0.970594608
Recent late,Late2013_14,Tree,0.297636228
Recent late,Late2014_15,Tree,0.138648516
Recent late,Late2015_3,Tree,0.095989542
Recent late,Late2015_4,Tree,0.586311446
Recent late,Late2015_5,Tree,0.147893016
Recent late,Late2015_6,Tree,0.184415415
Old late,Late2012_7,Tree,0.444397286
Old late,Late2004_10,Tree,1.015782951
Old late,Late2004_9,Tree,2.825480152
Old late,Late_2003_1,Tree,0.027223386
Old late,Late2010_19,Tree,0.05326012
Old late,Late2012_18,Tree,0.103884735
Old late,Late2012_8,Tree,0.543696205
Unburnt,Notburnt_1,Tree,0.500252957
Unburnt,Notburnt_2,Tree,0.098095254
Unburnt,Notburnt_3,Tree,6.932484148
Unburnt,Notburnt_5,Tree,4.238431194
Unburnt,Notburnt_6,Tree,0.930900088
Unburnt,Notburnt_7,Tree,3.198826278
Unburnt,Notburnt_9,Tree,0.676028775
Recent early,Early2014_13,Shrub,2.679643469
Recent early,Early2014_16,Shrub,3.300747337
Recent early,Early2015_2,Shrub,1.670734007
Recent early,Early2015_27,Shrub,2.664714899
Recent early,Early2015_5,Shrub,2.465915728
Recent early,Early2015_6,Shrub,2.333223819
Recent early,Early2015_7,Shrub,0.68880969
Recent late,Late2013_13,Shrub,0.499595983
Recent late,Late2013_14,Shrub,1.289603558
Recent late,Late2014_15,Shrub,1.241756915
Recent late,Late2015_3,Shrub,1.144218775
Recent late,Late2015_4,Shrub,1.491095134
Recent late,Late2015_5,Shrub,4.040488664
Recent late,Late2015_6,Shrub,2.852643716
Old late,Late2012_7,Shrub,4.390710181
Old late,Late2004_10,Shrub,0.314122146
Old late,Late2004_9,Shrub,1.637551395
Old late,Late_2003_1,Shrub,2.902560948
Old late,Late2010_19,Shrub,0.47812306
Old late,Late2012_18,Shrub,0.508152291
Old late,Late2012_8,Shrub,0.665877889
Unburnt,Notburnt_1,Shrub,1.902478581
Unburnt,Notburnt_2,Shrub,0.72306442
Unburnt,Notburnt_3,Shrub,1.049447241
Unburnt,Notburnt_5,Shrub,2.084733903
Unburnt,Notburnt_6,Shrub,1.746153074
Unburnt,Notburnt_7,Shrub,1.944961262
Unburnt,Notburnt_9,Shrub,0.573606003
Recent early,Early2014_13,litter.deadwood,0.0342
Recent early,Early2014_16,litter.deadwood,0.043025
Recent early,Early2015_2,litter.deadwood,0.060585095
Recent early,Early2015_27,litter.deadwood,0.0714625
Recent early,Early2015_5,litter.deadwood,0.043594862
Recent early,Early2015_6,litter.deadwood,0.05101875
Recent early,Early2015_7,litter.deadwood,0.286438478
Recent late,Late2013_13,litter.deadwood,0.0466375
Recent late,Late2013_14,litter.deadwood,0.0369375
Recent late,Late2014_15,litter.deadwood,0.0167125
Recent late,Late2015_3,litter.deadwood,0.02725625
Recent late,Late2015_4,litter.deadwood,0.041965996
Recent late,Late2015_5,litter.deadwood,0.01299375
Recent late,Late2015_6,litter.deadwood,0.028710906
Old late,Late2012_7,litter.deadwood,0.05451875
Old late,Late2004_10,litter.deadwood,0.198393432
Old late,Late2004_9,litter.deadwood,0.10366327
Old late,Late_2003_1,litter.deadwood,0.156399923
Old late,Late2010_19,litter.deadwood,0.05888125
Old late,Late2012_18,litter.deadwood,0.04534831
Old late,Late2012_8,litter.deadwood,0.039175
Unburnt,Notburnt_1,litter.deadwood,0.105725
Unburnt,Notburnt_2,litter.deadwood,0.08373125
Unburnt,Notburnt_3,litter.deadwood,0.258172289
Unburnt,Notburnt_5,litter.deadwood,0.605051301
Unburnt,Notburnt_6,litter.deadwood,0.1498875
Unburnt,Notburnt_7,litter.deadwood,0.106425
Unburnt,Notburnt_9,litter.deadwood,0.06009375
Recent early,Early2014_13,Herb.veg,0.02803125
Recent early,Early2014_16,Herb.veg,0.10263125
Recent early,Early2015_2,Herb.veg,0.0508875
Recent early,Early2015_27,Herb.veg,0.02899375
Recent early,Early2015_5,Herb.veg,0.1033125
Recent early,Early2015_6,Herb.veg,0.01575
Recent early,Early2015_7,Herb.veg,0.019775
Recent late,Late2013_13,Herb.veg,0.012525
Recent late,Late2013_14,Herb.veg,0.0176125
Recent late,Late2014_15,Herb.veg,0.02643125
Recent late,Late2015_3,Herb.veg,0.02793125
Recent late,Late2015_4,Herb.veg,0.03859375
Recent late,Late2015_5,Herb.veg,0.0502625
Recent late,Late2015_6,Herb.veg,0.0192
Old late,Late2012_7,Herb.veg,0.01509375
Old late,Late2004_10,Herb.veg,0.06405
Old late,Late2004_9,Herb.veg,0.006925
Old late,Late_2003_1,Herb.veg,0.0390625
Old late,Late2010_19,Herb.veg,0.049825
Old late,Late2012_18,Herb.veg,0.00708125
Old late,Late2012_8,Herb.veg,0.03528125
Unburnt,Notburnt_1,Herb.veg,0.04755
Unburnt,Notburnt_2,Herb.veg,0.0228625
Unburnt,Notburnt_3,Herb.veg,0.0154125
Unburnt,Notburnt_5,Herb.veg,0.00865625
Unburnt,Notburnt_6,Herb.veg,0.01143125
Unburnt,Notburnt_7,Herb.veg,0.01080625
Unburnt,Notburnt_9,Herb.veg,0.0425375
