Burn_history,Location,Horizon,Depth,SOC,C.density
Recent early,Early2014_13,2,2,0.794965471,39.74827355
Recent early,Early2014_16,2,2,1.365730006,68.2865003
Recent early,Early2015_2,2,2,1.447839236,72.3919618
Recent early,Early2015_27,2,2,1.493466567,74.67332835
Recent early,Early2015_5,2,2,0.808406443,40.42032215
Recent early,Early2015_6,2,2,1.095353379,54.76766895
Recent early,Early2015_7,2,2,0.703407148,35.1703574
Recent late,Late2013_13,2,2,1.141019597,57.05097985
Recent late,Late2013_14,2,2,1.752923848,87.6461924
Recent late,Late2014_15,2,2,0.58243414,29.121707
Recent late,Late2015_3,2,2,0.55906485,27.9532425
Recent late,Late2015_4,2,2,1.054773913,52.73869565
Recent late,Late2015_5,2,2,0.390446909,19.52234545
Recent late,Late2015_6,2,2,0.446912192,22.3456096
Old late,Late2012_7,2,2,1.141019597,57.05097985
Old late,Late2004_10,2,2,1.292573007,64.62865035
Old late,Late2004_9,2,2,1.411009966,70.5504983
Old late,Late2003_1,2,2,0.492254861,24.61274305
Old late,Late2010_19,2,2,1.11071737,55.5358685
Old late,Late2012_18,2,2,0.722871923,36.14359615
Old late,Late2012_8,2,2,1.252105472,62.6052736
Unburnt,Notburnt_1,2,2,1.256563388,62.8281694
Unburnt,Notburnt_2,2,2,0.954259321,47.71296605
Unburnt,Notburnt_3,2,2,1.891552534,94.5776267
Unburnt,Notburnt_5,2,2,0.831280944,41.5640472
Unburnt,Notburnt_6,2,2,1.254494494,62.7247247
Unburnt,Notburnt_7,2,2,2.602239528,130.1119764
Unburnt,Notburnt_9,2,2,0.883144308,44.1572154
Recent early,Early2014_13,7,5,3.127120746,62.54241492
Recent early,Early2014_16,7,5,4.180479005,83.6095801
Recent early,Early2015_2,7,5,4.022259041,80.44518082
Recent early,Early2015_27,7,5,3.419299662,68.38599324
Recent early,Early2015_5,7,5,3.180133375,63.6026675
Recent early,Early2015_6,7,5,2.132931864,42.65863728
