Treatment,Location,Subplot,Horizon,Depth,SOC,C.density
Old late,Late2003_1,1,2,2,0.367173588,18.35867941
Old late,Late2003_1,1,7,5,2.261335388,45.22670776
Old late,Late2003_1,1,12,5,2.116779725,42.33559451
Old late,Late2003_1,2,2,2,0.637227899,31.86139494
Old late,Late2003_1,2,7,5,1.834727077,36.69454154
Old late,Late2003_1,2,12,5,2.055683744,41.11367489
Old late,Late2003_1,3,2,2,0.550171791,27.50858954
Old late,Late2003_1,3,7,5,1.225750456,24.51500912
Old late,Late2003_1,3,12,5,3.643349378,72.86698757
Old late,Late2003_1,4,2,2,0.601522418,30.07612089
Old late,Late2003_1,4,7,5,1.758653833,35.17307666
Old late,Late2003_1,4,12,5,1.837975365,36.7595073
Old late,Late2003_1,5,2,2,0.30517861,15.25893052
Old late,Late2003_1,5,7,5,2.557639492,51.15278984
Old late,Late2003_1,5,12,5,1.784599788,35.69199576
Old late,Late2003_1,5,17,5,1.620498501,32.40997003
Old late,Late2004_10,1,2,2,1.453758966,72.68794828
Old late,Late2004_10,1,7,5,2.461849074,49.23698147
Old late,Late2004_10,1,12,5,2.031971383,40.63942766
Old late,Late2004_10,2,2,2,1.429381414,71.46907068
Old late,Late2004_10,2,7,5,2.608105987,52.16211974
Old late,Late2004_10,2,12,5,2.372511969,47.45023938
Old late,Late2004_10,3,2,2,1.180758511,59.03792557
Old late,Late2004_10,3,7,5,2.30379095,46.07581899
Old late,Late2004_10,3,12,5,1.728630772,34.57261544
Old late,Late2004_10,4,2,2,1.055663185,52.78315927
Old late,Late2004_10,4,7,5,2.406141112,48.12282225
Old late,Late2004_10,4,12,5,1.874621923,37.49243847
Old late,Late2004_10,5,2,2,1.343302961,67.16514804
Old late,Late2004_10,5,7,5,2.427321709,48.54643418
Old late,Late2004_10,5,12,5,2.11793696,42.3587392
Old late,Late2004_10,5,17,5,2.723523549,54.47047098
Recent late,Late2015_3,1,2,2,0.619126356,30.9563178
Recent late,Late2015_3,1,7,5,1.643310028,32.86620056
Recent late,Late2015_3,1,12,5,1.705833789,34.11667578
Recent late,Late2015_3,2,2,2,0.51422467,25.71123349
Recent late,Late2015_3,2,7,5,1.470737449,29.41474899
Recent late,Late2015_3,2,12,5,1.400529252,28.01058505
Recent late,Late2015_3,3,2,2,0.678239241,33.91196205
Recent late,Late2015_3,3,7,5,1.266746724,25.33493449
Recent late,Late2015_3,3,12,5,1.179920367,23.59840734
Recent late,Late2015_3,4,2,2,0.49161222,24.58061101
Recent late,Late2015_3,4,7,5,1.49883318,29.97666361
Recent late,Late2015_3,4,12,5,1.485001277,29.70002554
Recent late,Late2015_3,5,2,2,0.492121765,24.60608825
Recent late,Late2015_3,5,7,5,1.994853532,39.89707063
Recent late,Late2015_3,5,12,5,1.239416381,24.78832762
Recent late,Late2015_3,5,17,5,1.154459273,23.08918546
Recent late,Late2015_4,1,2,2,1.856280336,92.81401678
Recent late,Late2015_4,1,7,5,1.858576954,37.17153907
Recent late,Late2015_4,1,12,5,1.643511595,32.87023191
Recent late,Late2015_4,2,2,2,0.710364946,35.51824729
Recent late,Late2015_4,2,7,5,1.822719636,36.45439272
Recent late,Late2015_4,2,12,5,1.448682887,28.97365773
Recent late,Late2015_4,3,2,2,0.712351369,35.61756844
Recent late,Late2015_4,3,7,5,1.396168854,27.92337707
Recent late,Late2015_4,3,12,5,1.462522367,29.25044734
Recent late,Late2015_4,4,2,2,1.260231405,63.01157024
Recent late,Late2015_4,4,7,5,9.495562162,189.9112432
Recent late,Late2015_4,4,12,5,1.392434712,27.84869423
Recent late,Late2015_4,5,2,2,0.734641512,36.7320756
Recent late,Late2015_4,5,7,5,1.416569787,28.33139575
Recent late,Late2015_4,5,12,5,1.310446295,26.20892589
Recent late,Late2015_4,5,17,5,1.23024839,24.6049678
Recent late,Late2015_6,1,2,2,0.450165511,22.50827555
Recent late,Late2015_6,1,7,5,0.873896918,17.47793836
Recent late,Late2015_6,1,12,5,0.814008497,16.28016994
Recent late,Late2015_6,2,2,2,0.345795881,17.28979403
Recent late,Late2015_6,2,7,5,1.106806727,22.13613453
Recent late,Late2015_6,2,12,5,0.867896639,17.35793278
Recent late,Late2015_6,3,2,2,0.624441973,31.22209865
Recent late,Late2015_6,3,7,5,1.79829039,35.9658078
Recent late,Late2015_6,3,12,5,1.512766495,30.25532989
Recent late,Late2015_6,4,2,2,0.3557126,17.78563001
Recent late,Late2015_6,4,7,5,0.639409601,12.78819202
Recent late,Late2015_6,4,12,5,1.149857038,22.99714076
Recent late,Late2015_6,5,2,2,0.458444994,22.92224971
Recent late,Late2015_6,5,7,5,1.346915314,26.93830628
Recent late,Late2015_6,5,12,5,0.978537769,19.57075539
Recent late,Late2015_6,5,17,5,0.904319725,18.0863945
Recent late,Late2014_15,1,2,2,0.415870227,20.79351135
Recent late,Late2014_15,1,7,5,1.329696573,26.59393147
Recent late,Late2014_15,1,12,5,1.271168745,25.4233749
Recent late,Late2014_15,2,2,2,0.446075425,22.30377123
Recent late,Late2014_15,2,7,5,1.322199685,26.4439937
Recent late,Late2014_15,2,12,5,1.447621163,28.95242326
Recent late,Late2014_15,3,2,2,0.572016553,28.60082763
Recent late,Late2014_15,3,7,5,1.403236597,28.06473194
Recent late,Late2014_15,3,12,5,1.409726578,28.19453156
Recent late,Late2014_15,4,2,2,0.739453881,36.97269403
Recent late,Late2014_15,4,7,5,1.480379728,29.60759456
Recent late,Late2014_15,4,12,5,1.020675381,20.41350762
Recent late,Late2014_15,5,2,2,0.738754613,36.93773064
