Burn_history,Location,Horizon,Depth,LOI_mean,C.density,BD.g.cm3,Yr_last_fire
Old late,Late2003_1,2,2,4.859297361,0.375104651,2.065131056,2003
Old late,Late2003_1,17,5,3.254115175,0.788518946,2.185810181,2003
Old late,Late2003_1,7,5,4.590394231,0.8136196,1.912484801,2003
Old late,Late2003_1,12,5,5.463505334,0.957441574,2.039395393,2003
Old late,Late2004_10,2,2,10.04627624,0.691536806,2.310425416,2004
Old late,Late2004_10,17,5,5.009253673,1.084611293,2.343444996,2004
Old late,Late2004_10,7,5,5.30488134,0.989037597,2.06902343,2004
Old late,Late2004_10,12,5,4.146365994,0.844400039,2.153479067,2004
Old late,Late2004_9,2,2,13.49255108,0.749884526,1.95211253,2004
Old late,Late2004_9,17,5,12.19296791,1.88120183,2.136150312,2004
Old late,Late2004_9,7,5,14.42261036,1.617046105,1.53712814,2004
Old late,Late2004_9,12,5,9.994553712,1.537653034,2.05295028,2004
Old late,Late2010_19,2,2,6.214710074,0.604864044,2.416474631,2010
Old late,Late2010_19,17,5,7.014620828,1.288260021,2.223189108,2010
Old late,Late2010_19,7,5,5.986134483,1.405953708,2.117011511,2010
Old late,Late2010_19,12,5,6.144065784,1.107274286,2.09076091,2010
Old late,Late2012_18,2,2,4.850293107,0.489520196,2.184381755,2012
Old late,Late2012_18,17,5,7.389530286,1.354437251,2.252625278,2012
Old late,Late2012_18,7,5,5.885539903,1.09522382,2.130621419,2012
Old late,Late2012_18,12,5,6.104466704,1.156883106,2.182616149,2012
Old late,Late2012_8,2,2,10.06616398,0.674953738,2.23327627,2012
Old late,Late2012_8,7,5,11.42947146,1.342945709,1.817772708,2012
Old late,Late2012_8,12,5,11.52565462,1.629644357,2.200877437,2012
Old late,Lateburnt2012_7,2,2,9.057522162,0.657198497,2.258836289,2012
Old late,Lateburnt2012_7,17,5,6.478554068,1.261498291,2.300803816,2012
Old late,Lateburnt2012_7,7,5,6.213498719,1.099888852,2.035213806,2012
Old late,Lateburnt2012_7,12,5,6.551435744,1.208788292,2.137404506,2012
Recent early,Early2014_13,2,2,10.14680821,0.405346631,1.367871928,2014
Recent early,Early2014_13,17,5,4.407613491,0.868535866,2.030072881,2014
Recent early,Early2014_13,7,5,6.098464318,0.858732674,1.66613658,2014
Recent early,Early2014_13,12,5,6.803117341,1.037213856,1.844737171,2014
Recent early,Early2014_16,2,2,13.24642001,0.57687438,1.839503133,2014
Recent early,Early2014_16,17,5,7.579569648,1.381098167,2.255503293,2014
Recent early,Early2014_16,7,5,10.50316072,1.383812921,1.767214164,2014
Recent early,Early2014_16,12,5,9.483483262,1.431850366,1.895043182,2014
Recent early,Early2015_2,2,2,20.59923154,0.705008849,1.870272501,2015
Recent early,Early2015_2,17,5,10.09925779,1.366693188,1.800946195,2015
Recent early,Early2015_2,7,5,9.730459122,1.280841747,1.811347962,2015
Recent early,Early2015_2,12,5,10.10342014,1.175921157,1.757569992,2015
Recent early,Early2015_27,2,2,12.12565117,0.539294989,2.130803411,2015
Recent early,Early2015_27,17,5,8.910644887,1.548447292,2.244964679,2015
Recent early,Early2015_27,7,5,8.079561026,1.222057477,1.915217504,2015
Recent early,Early2015_27,12,5,7.8074695,1.325683931,2.100172301,2015
