Plot,Treatment,Type,Species,DBH,DSB,Height,DSB_m,Height_m,Biomass,C_per_tree,Carbon_kg.m2
Notburnt_5,UNBURNT,Shrub,Pterocarpus erinaceus,NA,1.6,101,0.016,1.01,6.92782391,3.463911955,0.138556478
Notburnt_5,UNBURNT,Shrub,Pterocarpus erinaceus,NA,1.1,103,0.011,1.03,3.909746134,1.954873067,0.078194923
Notburnt_5,UNBURNT,Shrub,Pterocarpus erinaceus,NA,1.4,87,0.014,0.87,4.998948736,2.499474368,0.099978975
Notburnt_5,UNBURNT,Shrub,Pterocarpus erinaceus,NA,0.8,59,0.008,0.59,1.533293802,0.766646901,0.030665876
Notburnt_5,UNBURNT,Shrub,Pterocarpus erinaceus,NA,0.6,84,0.006,0.84,1.288303152,0.644151576,0.025766063
Notburnt_5,UNBURNT,Shrub,Pterocarpus erinaceus,NA,1.3,112,0.013,1.12,5.425158143,2.712579072,0.108503163
Notburnt_5,UNBURNT,Shrub,Anogeissus leiocapus,NA,1.5,112,0.015,1.12,6.789657866,3.394828933,0.135793157
Notburnt_5,UNBURNT,Shrub,Anogeissus leiocapus,NA,1.4,135,0.014,1.35,7.054369148,3.527184574,0.141087383
Notburnt_5,UNBURNT,Shrub,Tamarindus indica,NA,0.7,53,0.007,0.53,1.14339047,0.571695235,0.022867809
Notburnt_5,UNBURNT,Shrub,Anogeissus leiocapus,NA,1.1,53,0.011,0.53,2.32244433,1.161222165,0.046448887
Notburnt_5,UNBURNT,Shrub,Anogeissus leiocapus,NA,3.7,102,0.037,1.02,25.98713151,12.99356576,0.51974263
Notburnt_5,UNBURNT,Shrub,Anogeissus leiocapus,NA,3,158,0.03,1.58,26.36015747,13.18007873,0.527203149
Notburnt_5,UNBURNT,Shrub,Anogeissus leiocapus,NA,1.7,152,0.017,1.52,10.49627049,5.248135247,0.20992541
Notburnt_1,UNBURNT,Shrub,Piliostigma thoningii,NA,1.2,75,0.012,0.75,3.494547021,1.747273511,0.06989094
Notburnt_1,UNBURNT,Shrub,Piliostigma thoningii,NA,0.9,60,0.009,0.6,1.868719761,0.934359881,0.037374395
Notburnt_1,UNBURNT,Shrub,Piliostigma thoningii,NA,1.2,62,0.012,0.62,3.010136637,1.505068318,0.060202733
Notburnt_1,UNBURNT,Shrub,Terminalia avicennioides,NA,1.8,87,0.018,0.87,7.413023592,3.706511796,0.148260472
Notburnt_1,UNBURNT,Shrub,Terminalia avicennioides,NA,0.7,55,0.007,0.55,1.177077413,0.588538706,0.023541548
Notburnt_1,UNBURNT,Shrub,Terminalia avicennioides,NA,0.8,73,0.008,0.73,1.811812611,0.905906306,0.036236252
Notburnt_1,UNBURNT,Shrub,Terminalia avicennioides,NA,0.7,76,0.007,0.76,1.51671677,0.758358385,0.030334335
Notburnt_1,UNBURNT,Shrub,Terminalia avicennioides,NA,0.6,59,0.006,0.59,0.976666809,0.488333404,0.019533336
Notburnt_1,UNBURNT,Shrub,Terminalia avicennioides,NA,2.2,152,0.022,1.52,15.72488486,7.862442431,0.314497697
Notburnt_1,UNBURNT,Shrub,Terminalia avicennioides,NA,0.7,53,0.007,0.53,1.14339047,0.571695235,0.022867809
Notburnt_1,UNBURNT,Shrub,Terminalia avicennioides,NA,0.8,71,0.008,0.71,1.772784345,0.886392172,0.035455687
Notburnt_1,UNBURNT,Shrub,Terminalia avicennioides,NA,0.9,67,0.009,0.67,2.037564901,1.01878245,0.040751298
Notburnt_1,UNBURNT,Shrub,Terminalia avicennioides,NA,0.6,82,0.006,0.82,1.26419543,0.632097715,0.025283909
Notburnt_1,UNBURNT,Shrub,Terminalia avicennioides,NA,0.7,61,0.007,0.61,1.276599798,0.638299899,0.025531996
Notburnt_1,UNBURNT,Shrub,Terminalia avicennioides,NA,0.7,61,0.007,0.61,1.276599798,0.638299899,0.025531996
Notburnt_1,UNBURNT,Shrub,Terminalia avicennioides,NA,0.8,55,0.008,0.55,1.451191749,0.725595875,0.029023835
Notburnt_1,UNBURNT,Shrub,Terminalia avicennioides,NA,0.9,51,0.009,0.51,1.645188534,0.822594267,0.032903771
Notburnt_1,UNBURNT,Shrub,Terminalia avicennioides,NA,0.8,59,0.008,0.59,1.533293802,0.766646901,0.030665876
Notburnt_1,UNBURNT,Shrub,Terminalia avicennioides,NA,0.7,58,0.007,0.58,1.227116845,0.613558423,0.024542337
Notburnt_1,UNBURNT,Shrub,Terminalia avicennioides,NA,0.7,53,0.007,0.53,1.14339047,0.571695235,0.022867809
Notburnt_1,UNBURNT,Shrub,Terminalia avicennioides,NA,0.8,60,0.008,0.6,1.553628765,0.776814382,0.031072575
Notburnt_1,UNBURNT,Shrub,Combretum adenogonium,NA,0.6,62,0.006,0.62,1.015386494,0.507693247,0.02030773
Notburnt_1,UNBURNT,Shrub,Combretum adenogonium,NA,0.9,111,0.009,1.11,3.026774706,1.513387353,0.060535494
Notburnt_1,UNBURNT,Shrub,Combretum adenogonium,NA,0.8,72,0.008,0.72,1.792327764,0.896163882,0.035846555
Notburnt_1,UNBURNT,Shrub,Combretum adenogonium,NA,0.6,75,0.006,0.75,1.178788964,0.589394482,0.023575779
Notburnt_1,UNBURNT,Shrub,Combretum adenogonium,NA,0.7,56,0.007,0.56,1.193821258,0.596910629,0.023876425
Notburnt_1,UNBURNT,Shrub,Terminalia avicennioides,NA,0.7,68,0.007,0.68,1.390075697,0.695037848,0.027801514
Notburnt_1,UNBURNT,Shrub,Terminalia avicennioides,NA,0.6,73,0.006,0.73,1.154075781,0.57703789,0.023081516
Notburnt_1,UNBURNT,Shrub,Terminalia avicennioides,NA,0.6,68,0.006,0.68,1.09163958,0.54581979,0.021832792
Notburnt_1,UNBURNT,Shrub,Terminalia avicennioides,NA,0.9,65,0.009,0.65,1.989730207,0.994865103,0.039794604
Notburnt_1,UNBURNT,Shrub,Terminalia avicennioides,NA,0.9,83,0.009,0.83,2.409998263,1.204999131,0.048199965
Notburnt_1,UNBURNT,Shrub,Terminalia avicennioides,NA,0.9,52,0.009,0.52,1.670422896,0.835211448,0.033408458
Notburnt_1,UNBURNT,Shrub,Terminalia avicennioides,NA,0.7,54,0.007,0.54,1.160267646,0.580133823,0.023205353
Notburnt_1,UNBURNT,Shrub,Terminalia avicennioides,NA,0.6,56,0.006,0.56,0.937519115,0.468759558,0.018750382
Notburnt_1,UNBURNT,Shrub,Terminalia avicennioides,NA,0.5,53,0.005,0.53,0.674675646,0.337337823,0.013493513
Notburnt_1,UNBURNT,Shrub,Terminalia avicennioides,NA,0.6,54,0.006,0.54,0.911169146,0.455584573,0.018223383
Notburnt_1,UNBURNT,Shrub,Terminalia avicennioides,NA,0.9,69,0.009,0.69,2.085091967,1.042545984,0.041701839
Notburnt_1,UNBURNT,Shrub,Terminalia avicennioides,NA,0.8,65,0.008,0.65,1.654235241,0.82711762,0.033084705
Notburnt_1,UNBURNT,Shrub,Terminalia avicennioides,NA,1,82,0.01,0.82,2.815974291,1.407987146,0.056319486
Notburnt_1,UNBURNT,Shrub,Terminalia avicennioides,NA,0.9,83,0.009,0.83,2.409998263,1.204999131,0.048199965
Notburnt_1,UNBURNT,Shrub,Terminalia avicennioides,NA,1.3,100,0.013,1,4.963984244,2.481992122,0.099279685
Notburnt_1,UNBURNT,Shrub,Terminalia avicennioides,NA,1.1,95,0.011,0.95,3.669636042,1.834818021,0.073392721
Notburnt_1,UNBURNT,Shrub,Terminalia avicennioides,NA,0.7,82,0.007,0.82,1.609805447,0.804902724,0.032196109
Notburnt_2,UNBURNT,Shrub,Terminalia avicennioides,NA,0.6,75,0.006,0.75,1.178788964,0.589394482,0.023575779
Notburnt_2,UNBURNT,Shrub,Terminalia avicennioides,NA,0.4,51,0.004,0.51,0.461385479,0.23069274,0.00922771
Notburnt_2,UNBURNT,Shrub,Terminalia avicennioides,NA,0.4,53,0.004,0.53,0.475509847,0.237754924,0.009510197
Notburnt_2,UNBURNT,Shrub,Terminalia avicennioides,NA,0.6,66,0.006,0.66,1.066389912,0.533194956,0.021327798
Notburnt_2,UNBURNT,Shrub,Terminalia avicennioides,NA,0.7,75,0.007,0.75,1.501050274,0.750525137,0.030021005
Notburnt_2,UNBURNT,Shrub,Terminalia avicennioides,NA,0.5,61,0.005,0.61,0.753277919,0.37663896,0.015065558
Notburnt_2,UNBURNT,Shrub,Terminalia avicennioides,NA,0.4,50,0.004,0.5,0.454278567,0.227139284,0.009085571
Notburnt_2,UNBURNT,Shrub,Terminalia avicennioides,NA,0.5,57,0.005,0.57,0.714275048,0.357137524,0.014285501
Notburnt_2,UNBURNT,Shrub,Terminalia avicennioides,NA,0.6,63,0.006,0.63,1.028202354,0.514101177,0.020564047
Notburnt_2,UNBURNT,Shrub,Terminalia avicennioides,NA,0.6,65,0.006,0.65,1.053703244,0.526851622,0.021074065
Notburnt_2,UNBURNT,Shrub,Terminalia avicennioides,NA,0.6,56,0.006,0.56,0.937519115,0.468759558,0.018750382
Notburnt_2,UNBURNT,Shrub,Terminalia avicennioides,NA,0.7,67,0.007,0.67,1.37402537,0.687012685,0.027480507
Notburnt_2,UNBURNT,Shrub,Terminalia avicennioides,NA,0.9,91,0.009,0.91,2.590263587,1.295131793,0.051805272
Notburnt_2,UNBURNT,Shrub,Terminalia avicennioides,NA,0.8,75,0.008,0.75,1.85061046,0.92530523,0.037012209
Notburnt_2,UNBURNT,Shrub,Terminalia avicennioides,NA,0.6,76,0.006,0.76,1.191092012,0.595546006,0.02382184
Notburnt_2,UNBURNT,Shrub,Terminalia avicennioides,NA,0.6,56,0.006,0.56,0.937519115,0.468759558,0.018750382
Notburnt_2,UNBURNT,Shrub,Terminalia avicennioides,NA,0.4,50,0.004,0.5,0.454278567,0.227139284,0.009085571
Notburnt_2,UNBURNT,Shrub,Terminalia avicennioides,NA,0.6,58,0.006,0.58,0.963666454,0.481833227,0.019273329
Notburnt_2,UNBURNT,Shrub,Terminalia avicennioides,NA,0.5,51,0.005,0.51,0.654635331,0.327317665,0.013092707
Notburnt_2,UNBURNT,Shrub,Terminalia avicennioides,NA,0.5,52,0.005,0.52,0.664676311,0.332338155,0.013293526
Notburnt_2,UNBURNT,Shrub,Terminalia avicennioides,NA,2.4,129,0.024,1.29,15.84807308,7.924036542,0.316961462
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,0.9,103,0.009,1.03,2.854397901,1.427198951,0.057087958
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,0.7,67,0.007,0.67,1.37402537,0.687012685,0.027480507
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,0.9,76,0.009,0.76,2.249164333,1.124582167,0.044983287
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,0.4,91,0.004,0.91,0.726427386,0.363213693,0.014528548
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,0.6,82,0.006,0.82,1.26419543,0.632097715,0.025283909
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,0.5,79,0.005,0.79,0.922539683,0.461269841,0.018450794
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,1.1,94,0.011,0.94,3.639321163,1.819660581,0.072786423
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,0.6,77,0.006,0.77,1.203360125,0.601680063,0.024067203
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,0.5,70,0.005,0.7,0.839088044,0.419544022,0.016781761
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,0.8,108,0.008,1.08,2.462948723,1.231474361,0.049258974
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,0.7,82,0.007,0.82,1.609805447,0.804902724,0.032196109
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,0.6,64,0.006,0.64,1.040974326,0.520487163,0.020819487
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,1.1,99,0.011,0.99,3.790215362,1.895107681,0.075804307
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,1.2,71,0.012,0.71,3.347586315,1.673793157,0.066951726
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,1.1,94,0.011,0.94,3.639321163,1.819660581,0.072786423
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,1.3,95,0.013,0.95,4.768347839,2.384173919,0.095366957
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,1.2,58,0.012,0.58,2.856811388,1.428405694,0.057136228
